Transaction_x0020_ID,Event_x0020_name,Number_x0020_of_x0020_purchased_x0020_tickets,Total_x0020_amount,Sales_x0020_channel,Customer_x0020_first_x0020_name,Customer_x0020_last_x0020_name,Office_x0020_location,Created_Date
38715171,A Question of Sport Live,7,1192.45,mobile app,Darien,Schoonhoven,Hull,2021-02-13T00:00:00
43053682,VISITE MAISON & JARDINS DE CLAUDE MONET,1,13,mobile app,Lingyun,Schoonhoven,Giverny,2021-02-15T00:00:00
13292510,Harry Styles: Love On Tour,7,707,mobile app,Argoitz,Schoonhoven,San Jose,2021-04-25T00:00:00
43309937,VISITE GROUPE AVEC VOTRE CONFERENCIER - VOTRE GUIDE CONFERENCIER,5,300,web,Zohaib,Schoonhoven,Paris,2021-02-05T00:00:00
9763717,Jax Jones,4,74,mobile app,Valentino,Schoonhoven,Newcastle Upon Tyne,2021-04-07T00:00:00
38744595,A Night of Soul and Gospel,1,15,mobile app,Abdelouahd,Schoonhoven,Newcastle Upon Tyne,2021-02-12T00:00:00
41277945,Whitney Queen of the Night,3,75,mobile app,Nevadita,Schoonhoven,Nottingham,2021-02-13T00:00:00
102703,Love Actually Live in Concert,3,0,web,Yuhui,Schoonhoven,Hull,2021-04-28T00:00:00
20238082,EDOUARD BAER,2,38,web,Haijun,Schoonhoven,Paris,2021-03-15T00:00:00
421784,Los Dos Carnales,8,396,web,Vera,Schoonhoven,Hidalgo,2021-04-10T00:00:00
36861313,"Alexander Scheer, Andreas Dresen & Band",8,157.12,web,Delcie,Schoonhoven,Neuhardenberg,2021-02-14T00:00:00
40052231,#IMOMSOHARD: Mom's Night Out Round 2,1,49.5,mobile app,Edin,Schoonhoven,Bethlehem,2021-02-23T00:00:00
36897871,ALEX VIZOREK - Alex Vizorek - AD VITAM,3,93.75,web,Yamil,Schoonhoven,Paris,2021-02-17T00:00:00
20105250,Ehrlich Brothers – Dream & Fly – Die neue Magie Show,5,434.125,mobile app,Lindaura,Schoonhoven,Oberhausen,2021-03-12T00:00:00
11620058,Il Divo,1,51.45,mobile app,Kesia,Schoonhoven,London,2021-04-03T00:00:00
20303738,EDDY DE PRETTO,7,336,mobile app,Lamar,Schoonhoven,Lille,2021-03-11T00:00:00
8107382,Joesef,7,105,web,Julito,Schoonhoven,Edinburgh ,2021-02-05T00:00:00
26555495,Classic Movie Night At The Jefferson Tangled,1,6,web,Baye,Schoonhoven,Beaumont,2021-03-16T00:00:00
30456026,BUN HAY MEAN,3,114,web,Raidel,Schoonhoven,Paris,2021-03-12T00:00:00
6634599,Kansas City Mavericks vs. Allen Americans,4,136,mobile app,Bethel,Schoonhoven,Independence,2021-04-16T00:00:00
31446508,BOODER IS BACK,6,189.6,mobile app,Meryeme,Induzi,Paris,2021-02-11T00:00:00
10187148,Jamey Johnson,8,200,web,Zeus,Induzi,Sterling Heights,2021-04-15T00:00:00
66296151,NOE - LA FORCE DE VIVRE - NOE,6,156,web,Aingeru,Induzi,Paris,2021-02-19T00:00:00
41372947,Whitney Cummings,7,910,web,Gaynor,Induzi,Addison,2021-02-26T00:00:00
13501385,Happy Together Tour 2021,5,447.5,mobile app,Skye,Induzi,Waukegan,2021-04-06T00:00:00
21610330,DIVA FAUNE,6,120,web,Petrache,Induzi,Ambes,2021-03-05T00:00:00
22359611,Detroit Red Wings vs. Tampa Bay Lightning,3,435,mobile app,Hssain,Induzi,Detroit,2021-03-27T00:00:00
37776375,Aladdin,8,460,web,Roser,Induzi,New York,2021-02-16T00:00:00
37988925,AJ and Curtis' Big Night Out,3,122.7,mobile app,Hossnia,Induzi,Southend-On-Sea,2021-02-07T00:00:00
36300823,Alvin Ailey American Dance Theater,1,61.5,web,Sverre,Induzi,Newark,2021-02-23T00:00:00
29750495,CASH: Paying Respect To The Man in Black,7,118.3,web,Janel,Induzi,Sheffield,2021-02-17T00:00:00
18960033,Eric Church: The Gather Again Tour,2,74.5,mobile app,Evangelista,Induzi,Pittsburgh,2021-03-07T00:00:00
16834869,FRANCIS CABREL,3,186,mobile app,Ronda,Induzi,Carcassonne,2021-04-12T00:00:00
